event_id,event_type,event_timestamp,user_id,session_id,product_id,price
a7f814c0-89ae-41d9-bc8f-ceeaa3de6c07,page_view,2026-02-21 08:14:47.153752,a37ddd78-d15b-4d28-8e22-3054d12f8cec,ee1d49f1-8e63-450c-a4ba-d68ed22a451b,1063,408.61
db80bb75-94e1-40cc-b539-c91aa5d4bb3c,page_view,2026-02-21 08:14:47.153798,00be03cd-b95e-4cb2-a278-267a50dda2ea,8c5e7532-bf3b-44a5-9667-1e36698a7975,1048,406.02
85e2f23d-37f2-4c0e-9729-1ced173db4c3,checkout,2026-02-21 08:14:47.153815,9ebf770b-89ec-47b1-a9ab-4865464880ed,635ee8e7-b082-4ffb-89e6-c021a1efc066,1065,113.9
4c7a90e8-f795-4a02-823d-3c84bc078882,purchase,2026-02-21 08:14:47.153826,28963783-91e1-40b3-bb0d-e5fa14684bfc,9ec7684d-fc6d-40b4-929e-c8ff40f3d39a,1019,44.0
f3340a81-304e-4b36-b8d4-a6f3d7596efe,checkout,2026-02-21 08:14:47.153840,78d693f5-0ada-4135-a6b2-a06b4813691f,42c3777a-8461-474f-abbe-5282fa10bedc,1040,280.25
48937179-ff67-48f3-8e58-7e145e17e4d6,page_view,2026-02-21 08:14:47.153853,8d9bb9f4-6a83-4320-a39b-bb7c82e7e751,c179309e-de07-4fc3-b92e-3bb6a1024578,1009,94.24
82d646d1-fe45-4e2f-b555-5201564bb1be,add_to_cart,2026-02-21 08:14:47.153867,43ad0269-4e32-4287-8c18-424e0a8bca85,bc349058-8a1a-41a2-9e78-438d7961dda1,1039,19.82
ec8317b2-efd5-4be9-ae66-390f28b8558f,page_view,2026-02-21 08:14:47.153883,aeb85cca-3d30-4b51-88a6-aa6aeeaaf329,6b0d9fa8-b1e2-449c-9b79-f0bfe8565258,1031,306.98
4a1d580c-9264-4187-8fcb-cd3a8728cf99,add_to_cart,2026-02-21 08:14:47.153896,82416bd8-60e4-44d8-b7fd-500370da37ad,e24bf2a0-b3e3-44f5-8330-333effd2d0af,1008,305.38
6c0f661a-511c-41a1-9f57-46b25c47fa66,page_view,2026-02-21 08:14:47.153908,828ac910-5092-40bb-b1f2-33358e2ae091,a1fdd449-b03a-4b01-8f9e-9a12d978322a,1002,203.86
14916115-983f-43ac-8547-08bbf3476b58,purchase,2026-02-21 08:14:47.153920,4e188919-027d-4899-aa52-ea5757fdd974,22e11aed-e74a-4745-96b9-44e55a7bb1eb,1000,49.17
fc3c5cfb-cd14-433b-9d0b-eba415ec197f,add_to_cart,2026-02-21 08:14:47.153932,b3d73972-2019-4344-99ca-5f183cc249e8,5eef9506-2492-49e5-8dca-9954cd2f9b28,1056,432.57
a82a68c2-fb9a-43fa-b980-0d3e344066ac,purchase,2026-02-21 08:14:47.153945,1bf59cc5-2a98-4c1f-9ca9-bc511b61be0e,11b05b0b-8428-4842-820e-f85ea5b1fb89,1017,399.53
234b4068-162c-4c08-98f8-9db05e3c14a6,page_view,2026-02-21 08:14:47.153957,85a7565b-5dac-4995-bde7-70aaf821019f,30d3fe54-6b8f-44b4-97ef-dd32d013bf24,1039,69.92
409ebff2-ee44-4b4c-8d7e-e9bf6a7b17c5,add_to_cart,2026-02-21 08:14:47.153968,0b737dc2-3bd7-4811-9185-66cecb9164c9,929cc1cf-9760-464e-a9fd-34714e2c0149,1007,293.49
b37a7f0d-a8e5-4e9e-8dda-5a7e179db1b1,purchase,2026-02-21 08:14:47.153980,a4316ca2-5604-4cbf-8f70-db94d4728ef2,9be765e3-cbd9-43ba-a2d1-b01a22165173,1014,276.27
aee1083c-deb5-4006-82d7-47e471cd0b76,page_view,2026-02-21 08:14:47.153993,5c381df3-3f19-4ed2-b3d1-85e96efe842c,b65d12b2-0f2b-4857-baeb-14be68c835c2,1083,457.99
0bdbd8f7-af30-4c08-92b1-1cc33356536f,add_to_cart,2026-02-21 08:14:47.154005,114eacc8-ee73-4616-9f49-b9b6d8dacdd4,f2efcd57-bb67-4cf7-b167-eb969e118109,1007,235.69
2af636f9-cac0-49b2-993f-628c092c2b26,purchase,2026-02-21 08:14:47.154018,f770c18b-f0bd-4a73-95e9-bf700a7f7a88,478c3c85-c978-4a8e-9de9-70440969850d,1028,274.21
45bae789-e594-4d2d-8d71-c86c353f0327,add_to_cart,2026-02-21 08:14:47.154029,7fbcb0a7-df1c-4b5d-a7df-fdebcffb8262,f9f0d1eb-4a5f-4743-8551-32b44f92cd2d,1073,295.95
